fen,move,move_san,move_number,to_move,evaluation,piece_count
r3k2r/ppp4p/2np4/5Qp1/2P5/P5B1/4q1PP/3K3R w kq - 0 21,d1c1,Kc1,41,white,-6.9,19
r3k2r/ppp4p/2np4/5Qp1/2P5/P5B1/4q1PP/2K4R b kq - 1 21,c6d4,Nd4,42,black,-6.9,19
r3kb1r/ppp1pppp/2n2n2/3q4/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq - 2 6,c2c4,c4,11,white,0.0,30
r3kb1r/ppp1pppp/2n2n2/3q4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq - 0 6,d5f5,Qf5,12,black,0.0,30
r3kb1r/ppp1pppp/2n2n2/5q2/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQkq - 1 7,e1g1,O-O,13,white,0.0,30
r3kb1r/ppp1pppp/2n2n2/5q2/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 b kq - 2 7,e8c8,O-O-O,14,black,0.0,30
2kr1b1r/ppp1pppp/2n2n2/5q2/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 w - - 3 8,c1e3,Be3,15,white,0.0,30
2kr1b1r/ppp1pppp/2n2n2/5q2/2PP2b1/4BN2/PP2BPPP/RN1Q1RK1 b - - 4 8,e7e6,e6,16,black,0.0,30
2kr1b1r/ppp2ppp/2n1pn2/5q2/2PP2b1/4BN2/PP2BPPP/RN1Q1RK1 w - - 0 9,b1d2,Nbd2,17,white,0.0,30
2kr1b1r/ppp2ppp/2n1pn2/5q2/2PP2b1/4BN2/PP1NBPPP/R2Q1RK1 b - - 1 9,f8d6,Bd6,18,black,0.0,30
2kr3r/ppp2ppp/2nbpn2/5q2/2PP2b1/4BN2/PP1NBPPP/R2Q1RK1 w - - 2 10,h2h3,h3,19,white,0.0,30
2kr3r/ppp2ppp/2nbpn2/5q2/2PP2b1/4BN1P/PP1NBPP1/R2Q1RK1 b - - 0 10,h7h5,h5,20,black,0.0,30
2kr3r/ppp2pp1/2nbpn2/5q1p/2PP2b1/4BN1P/PP1NBPP1/R2Q1RK1 w - - 0 11,d1a4,Qa4,21,white,0.0,30
2kr3r/ppp2pp1/2nbpn2/5q1p/Q1PP2b1/4BN1P/PP1NBPP1/R4RK1 b - - 1 11,d6f4,Bf4,22,black,0.0,30
2kr3r/ppp2pp1/2n1pn2/5q1p/Q1PP1bb1/4BN1P/PP1NBPP1/R4RK1 w - - 2 12,b2b4,b4,23,white,0.0,30
2kr3r/ppp2pp1/2n1pn2/5q1p/QPPP1bb1/4BN1P/P2NBPP1/R4RK1 b - - 0 12,f6e4,Ne4,24,black,0.0,30
2kr3r/ppp2pp1/2n1p3/5q1p/QPPPnbb1/4BN1P/P2NBPP1/R4RK1 w - - 1 13,e2d3,Bd3,25,white,0.0,30
2kr3r/ppp2pp1/2n1p3/5q1p/QPPPnbb1/3BBN1P/P2N1PP1/R4RK1 b - - 2 13,e4c3,Nc3,26,black,0.0,30
2kr3r/ppp2pp1/2n1p3/5q1p/QPPP1bb1/2nBBN1P/P2N1PP1/R4RK1 w - - 3 14,a4c2,Qc2,27,white,0.0,30
2kr3r/ppp2pp1/2n1p3/5q1p/1PPP1bb1/2nBBN1P/P1QN1PP1/R4RK1 b - - 4 14,c6b4,Nxb4,28,black,0.0,30
2kr3r/ppp2pp1/4p3/5q1p/1nPP1bb1/2nBBN1P/P1QN1PP1/R4RK1 w - - 0 15,d3f5,Bxf5,29,white,-1.0,29
2kr3r/ppp2pp1/4p3/5B1p/1nPP1bb1/2n1BN1P/P1QN1PP1/R4RK1 b - - 0 15,b4c2,Nxc2,30,black,8.0,28
2kr3r/ppp2pp1/4p3/5B1p/2PP1bb1/2n1BN1P/P1nN1PP1/R4RK1 w - - 0 16,f5c2,Bxc2,31,white,-1.0,27
2kr3r/ppp2pp1/4p3/7p/2PP1bb1/2n1BN1P/P1BN1PP1/R4RK1 b - - 0 16,c3e2,Ne2+,32,black,2.2,26
2kr3r/ppp2pp1/4p3/7p/2PP1bb1/4BN1P/P1BNnPP1/R4RK1 w - - 1 17,g1h1,Kh1,33,white,2.2,26
2kr3r/ppp2pp1/4p3/7p/2PP1bb1/4BN1P/P1BNnPP1/R4R1K b - - 2 17,f4e3,Bxe3,34,black,2.2,26
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4bN1P/P1BNnPP1/R4R1K w - - 0 18,f2e3,fxe3,35,white,-1.1,25
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4PN1P/P1BNn1P1/R4R1K b - - 0 18,e2g3,Ng3+,36,black,2.2,24
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4PNnP/P1BN2P1/R4R1K w - - 1 19,h1h2,Kh2,37,white,2.2,24
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4PNnP/P1BN2PK/R4R2 b - - 2 19,g3f1,Nxf1+,38,black,2.2,24
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4PN1P/P1BN2PK/R4n2 w - - 0 20,a1f1,Rxf1,39,white,-2.8,23
2kr3r/ppp2pp1/4p3/7p/2PP2b1/4PN1P/P1BN2PK/5R2 b - - 0 20,g4f3,Bxf3,40,black,0.4,22
2kr3r/ppp2pp1/4p3/7p/2PP4/4Pb1P/P1BN2PK/5R2 w - - 0 21,f1f3,Rxf3,41,white,-2.8,21
2kr3r/ppp2pp1/4p3/7p/2PP4/4PR1P/P1BN2PK/8 b - - 0 21,f7f6,f6,42,black,0.5,20
2kr3r/ppp3p1/4pp2/7p/2PP4/4PR1P/P1BN2PK/8 w - - 0 22,d2e4,Ne4,43,white,0.5,20
2kr3r/ppp3p1/4pp2/7p/2PPN3/4PR1P/P1B3PK/8 b - - 1 22,b7b6,b6,44,black,0.5,20
2kr3r/p1p3p1/1p2pp2/7p/2PPN3/4PR1P/P1B3PK/8 w - - 0 23,c4c5,c5,45,white,0.5,20
2kr3r/p1p3p1/1p2pp2/2P4p/3PN3/4PR1P/P1B3PK/8 b - - 0 23,c8b7,Kb7,46,black,0.5,20
3r3r/pkp3p1/1p2pp2/2P4p/3PN3/4PR1P/P1B3PK/8 w - - 1 24,c2b3,Bb3,47,white,0.5,20
3r3r/pkp3p1/1p2pp2/2P4p/3PN3/1B2PR1P/P5PK/8 b - - 2 24,h8e8,Rhe8,48,black,0.5,20
3rr3/pkp3p1/1p2pp2/2P4p/3PN3/1B2PR1P/P5PK/8 w - - 3 25,f3g3,Rg3,49,white,0.5,20
3rr3/pkp3p1/1p2pp2/2P4p/3PN3/1B2P1RP/P5PK/8 b - - 4 25,e8e7,Re7,50,black,0.5,20
3r4/pkp1r1p1/1p2pp2/2P4p/3PN3/1B2P1RP/P5PK/8 w - - 5 26,g3g6,Rg6,51,white,0.5,20
3r4/pkp1r1p1/1p2ppR1/2P4p/3PN3/1B2P2P/P5PK/8 b - - 6 26,h5h4,h4,52,black,0.5,20
3r4/pkp1r1p1/1p2ppR1/2P5/3PN2p/1B2P2P/P5PK/8 w - - 0 27,g2g3,g3,53,white,0.5,20
3r4/pkp1r1p1/1p2ppR1/2P5/3PN2p/1B2P1PP/P6K/8 b - - 0 27,h4g3,hxg3+,54,black,0.5,20
3r4/pkp1r1p1/1p2ppR1/2P5/3PN3/1B2P1pP/P6K/8 w - - 0 28,h2g3,Kxg3,55,white,-0.5,19
3r4/pkp1r1p1/1p2ppR1/2P5/3PN3/1B2P1KP/P7/8 b - - 0 28,b7c6,Kc6,56,black,0.5,18
3r4/p1p1r1p1/1pk1ppR1/2P5/3PN3/1B2P1KP/P7/8 w - - 1 29,h3h4,h4,57,white,0.5,18
3r4/p1p1r1p1/1pk1ppR1/2P5/3PN2P/1B2P1K1/P7/8 b - - 0 29,d8h8,Rh8,58,black,0.5,18
7r/p1p1r1p1/1pk1ppR1/2P5/3PN2P/1B2P1K1/P7/8 w - - 1 30,b3c4,Bc4,59,white,0.5,18
7r/p1p1r1p1/1pk1ppR1/2P5/2BPN2P/4P1K1/P7/8 b - - 2 30,b6b5,b5,60,black,0.5,18
7r/p1p1r1p1/2k1ppR1/1pP5/2BPN2P/4P1K1/P7/8 w - - 0 31,c4e2,Be2,61,white,0.5,18
